# 2026-07-24T23:59:33-04:00  000b023  COUNT=10 BENCHTIME=300ms
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkApply_SmallPatch/large-16              	  158614	      2136 ns/op	    5779 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  162231	      2159 ns/op	    5779 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  163896	      2188 ns/op	    5779 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  169726	      2133 ns/op	    5779 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  152726	      2177 ns/op	    5780 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  156596	      2157 ns/op	    5780 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  158797	      2194 ns/op	    5779 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  147183	      2179 ns/op	    5780 B/op	      50 allocs/op
BenchmarkDiff/large/identical-16                	48306721	         6.485 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	51379906	         6.770 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	52732572	         6.505 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	50259112	         6.596 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	47175262	         6.586 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	55254208	         6.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	52848302	         6.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	55361599	         6.486 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	54108730	         6.468 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/identical-16                	53185831	         6.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkDiff/large/one-key-16                  	     748	    464509 ns/op	    1668 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     708	    462760 ns/op	    1739 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     825	    472636 ns/op	    1549 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     763	    434826 ns/op	    1642 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     762	    483084 ns/op	    1644 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     675	    637350 ns/op	    1804 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     772	    542799 ns/op	    1628 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     724	    462396 ns/op	    1709 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     757	    455617 ns/op	    1652 B/op	       2 allocs/op
BenchmarkDiff/large/one-key-16                  	     742	    469185 ns/op	    1677 B/op	       2 allocs/op
BenchmarkDiff/large/all-different-16            	     314	    967697 ns/op	 1205333 B/op	     852 allocs/op
BenchmarkDiff/large/all-different-16            	     326	    948114 ns/op	 1189721 B/op	     822 allocs/op
BenchmarkDiff/large/all-different-16            	     385	    830329 ns/op	 1127115 B/op	     704 allocs/op
BenchmarkDiff/large/all-different-16            	     338	    912246 ns/op	 1175184 B/op	     795 allocs/op
BenchmarkDiff/large/all-different-16            	     309	   1003557 ns/op	 1212196 B/op	     865 allocs/op
BenchmarkDiff/large/all-different-16            	     295	   1036435 ns/op	 1232654 B/op	     904 allocs/op
BenchmarkDiff/large/all-different-16            	     315	    975213 ns/op	 1204133 B/op	     849 allocs/op
BenchmarkDiff/large/all-different-16            	     349	    900726 ns/op	 1162643 B/op	     771 allocs/op
BenchmarkDiff/large/all-different-16            	     319	    952555 ns/op	 1197402 B/op	     839 allocs/op
BenchmarkDiff/large/all-different-16            	     343	    906262 ns/op	 1169431 B/op	     784 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1569675	       230.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1591629	       228.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1553970	       229.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1526520	       233.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1560085	       230.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1562850	       232.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1541168	       229.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1526956	       233.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1568724	       228.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/1-key-16             	 1577533	       233.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  528337	       681.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  493723	       685.6 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  498038	       668.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  507516	       662.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  562249	       688.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  509900	       677.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  527448	       675.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  496186	       677.0 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  557397	       670.3 ns/op	     400 B/op	       2 allocs/op
BenchmarkDiffDerived/large/5-key-16             	  558020	       670.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkGet/large-16                           	 7054227	        49.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/large-16                           	 6900734	        50.83 ns/op	       0 B/op	       0 allocs/op
